Username,Category,Followers,Followees,Posts,Level
imouniroy,fashion,6108054,251,1980,Huge
chloelukasiak,fashion,6071881,1013,1035,Huge
kateupton,fashion,6047164,165,1071,Huge
mylifeaseva,fashion,5749105,927,670,Huge
valentinazenere,fashion,5724382,820,380,Huge
angelasimmons,fashion,5483094,1505,11088,Huge
billboard,fashion,5351808,471,11386,Huge
yoventura,fashion,5312319,297,1833,Huge
lilyaldridge,fashion,5275423,992,2318,Huge
ticipinheiro,fashion,5271871,503,8088,Huge
josephineskriver,fashion,5249697,330,1747,Huge
amorimvivian,fashion,5168769,971,2331,Huge
loreimprota,fashion,5074442,1966,5127,Huge
jordynjones,fashion,5068967,552,6195,Huge
niasioux,fashion,4822183,1572,2181,Huge
katgraham,fashion,4729293,448,3086,Huge
romeestrijd,fashion,4725313,971,2095,Huge
wolfiecindy,fashion,4702230,391,289,Huge
emilysears,fashion,4686032,400,2060,Huge
realberniceburgos,fashion,4555925,635,1341,Huge
lianev,fashion,4493231,443,2436,Huge
winnieharlow,fashion,4444829,1157,3785,Huge
anilorak,fashion,4413734,540,3367,Huge
thailaayala,fashion,4348933,1163,4699,Huge
camilaloures,fashion,4262311,2057,1955,Huge
chanteljeffries,fashion,4234620,440,2035,Huge
xandaviao,fashion,4230704,1261,3893,Huge
valeria_orsini,fashion,4203789,1294,2795,Huge
vickypattison,fashion,4056435,3511,7238,Huge
leighannepinnock,fashion,4044404,542,2138,Huge
francinyehlke,fashion,4039608,245,1065,Huge
stellamaxwell,fashion,4017691,530,1720,Huge
greggsulkin,fashion,4013626,671,760,Huge
lira_galore,fashion,4007201,3559,1129,Huge
natalieevamarie,fashion,3996018,598,4860,Huge
brooklynandbailey,fashion,3965492,363,2111,Huge
adriennebailon,fashion,3939273,1111,2430,Huge
sofiarichie,fashion,3859426,537,1037,Huge
alisha,fashion,3824778,841,1513,Huge
tata,fashion,3817906,687,3113,Huge
vanessamorgan,fashion,3815326,389,1136,Huge
ashanti,fashion,3807076,347,3002,Huge
desiperkins,fashion,3787218,709,2115,Huge
indialove,fashion,3781802,348,3592,Huge
alessiamarcuzzi,fashion,3724074,1816,4077,Huge
rclbeauty101,fashion,3719331,83,1310,Huge
porsha4real,fashion,3705188,1301,5257,Huge
lilymaymac,fashion,3700714,426,1020,Huge
nicolescherzinger,fashion,3689155,450,1997,Huge
sssniperwolf,fashion,3676322,209,1459,Huge
blythe,fashion,3663940,3312,3506,Huge
evelynlozada,fashion,3635981,1713,2423,Huge
colormenae,fashion,3633464,1094,4340,Huge
marixioficial,fashion,3509731,3217,1994,Huge
tommiee_,fashion,3489376,685,1423,Huge
marcusbutler,fashion,3457428,393,786,Huge
melissasatta,fashion,3418964,529,3664,Huge
stefaniegiesinger,fashion,3412920,344,1768,Huge
isabellafiorentino,fashion,3399607,1687,5269,Huge
louteasdale,fashion,3396858,1586,1664,Huge
cynsantana,fashion,3386873,327,1491,Huge
mariasharapova,fashion,3382591,413,1458,Huge
oliviaculpo,fashion,3345820,2430,3278,Huge
chechurodriguez_real,fashion,3344333,1010,4845,Huge
lottietomlinson,fashion,3340504,1311,2769,Huge
carolinakopelioff,fashion,3278706,556,770,Huge
evelynregly,fashion,3228075,1256,7077,Huge
golden_barbie,fashion,3216532,476,2084,Huge
rawan,fashion,3170954,998,1347,Huge
menwithstreetstyle,fashion,3162706,45,4404,Huge
thassianaves,fashion,3152072,1000,14340,Huge
daniellediz,fashion,3119448,908,956,Huge
_summerella_,fashion,3066136,843,4239,Huge
liketoknow.it,fashion,3060410,1507,19025,Huge
chloegshore1,fashion,3032394,347,670,Huge
mandymooremm,fashion,2994869,671,1774,Huge
doctor.mike,fashion,2949912,193,594,Huge
pilarrubio_oficial,fashion,2910521,479,1121,Huge
yarashahidi,fashion,2874140,1005,1698,Huge
milesocampo,fashion,2866381,818,940,Huge
rachelzoe,fashion,2851247,837,5160,Huge
sherylrubio,fashion,2838283,862,1284,Huge
whowhatwear,fashion,2829068,1774,5186,Huge
neelsvisser,fashion,2805699,307,380,Huge
anyuta_rai,fashion,2805694,89,1363,Huge
marigonzalez,fashion,2794813,679,3120,Huge
highfashionmen,fashion,2763204,97,1585,Huge
gabi,fashion,2750600,1495,910,Huge
mariesteller,fashion,2745760,926,1764,Huge
barrefaeli,fashion,2730605,597,2682,Huge
