,Username,Category,Followers,Followees,Posts,Level
2707,cassie_cameron_,fashion,89467.0,2576,1144,Mid
2708,thedreamctchr,fashion,89389.0,5524,1185,Mid
2709,atlasandmason,fashion,89387.0,799,3008,Mid
2710,toreystreasures,fashion,89338.0,1351,2180,Mid
2711,rossellinaa,fashion,89300.0,1204,2932,Mid
2712,a1_fleeky,fashion,89157.0,98,560,Mid
2713,iheartbargains,fashion,89142.0,976,4710,Mid
2714,offbeatlook,fashion,89139.0,4759,392,Mid
2715,camillaamaraloficial,fashion,89109.0,1421,1427,Mid
2716,lululus,fashion,89078.0,844,738,Mid
2717,thelustlistt,fashion,89076.0,625,2215,Mid
2718,cristina_kovacs,fashion,88938.0,518,1964,Mid
2719,bethanjroberts,fashion,88830.0,1379,577,Mid
2720,greengaskell,fashion,88828.0,633,1122,Mid
2721,thisishadassah,fashion,88822.0,981,908,Mid
2722,tishaalyn,fashion,88706.0,826,570,Mid
2723,topflightfamily,fashion,88682.0,644,2033,Mid
2724,fitsonme,fashion,88630.0,6482,859,Mid
2725,nurceerben,fashion,88543.0,1557,1317,Mid
2726,mariamontazamioriginal,fashion,88454.0,279,462,Mid
2727,rinasonline,fashion,88420.0,1566,1194,Mid
2728,just_jodes,fashion,88372.0,1392,2090,Mid
2729,msrondon,fashion,88357.0,143,343,Mid
2730,eleonorstorre,fashion,88345.0,3099,1035,Mid
2731,reneebargh,fashion,88155.0,4089,3470,Mid
2732,parisgrenoble,fashion,88098.0,571,2321,Mid
2733,xinlinnn,fashion,87946.0,1445,3469,Mid
2734,la_la_lita,fashion,87858.0,2857,1284,Mid
2735,sandytoktv,fashion,87744.0,805,1192,Mid
2736,laurine_mn,fashion,87648.0,566,1173,Mid
2737,elly.mayday,fashion,87647.0,1200,2146,Mid
2738,murielvillera,fashion,87606.0,710,1035,Mid
2739,giulicorona,fashion,87551.0,1313,2680,Mid
2740,styledevotee,fashion,87479.0,1889,1593,Mid
2741,thefancyashley,fashion,87293.0,1420,6862,Mid
2742,kaylamontee,fashion,87174.0,2033,437,Mid
2743,adriannetrends,fashion,87085.0,875,3521,Mid
2744,cindycournoyer,fashion,87037.0,787,882,Mid
2745,mandy_sealey,fashion,87034.0,1352,1742,Mid
2746,tubaerguen,fashion,86925.0,291,787,Mid
2747,besshcarter,fashion,86880.0,2861,3090,Mid
2748,tocestyle,fashion,86819.0,931,547,Mid
2749,raekanoa,fashion,86773.0,1136,579,Mid
2750,benblack10,fashion,86763.0,541,2315,Mid
2751,the3dvinas,fashion,86657.0,63,1284,Mid
2752,liviawiola,fashion,86583.0,4487,572,Mid
2753,peonylim,fashion,86573.0,501,5285,Mid
2754,floriane_lt,fashion,86523.0,553,2924,Mid
2755,t.duh_,fashion,86491.0,1561,556,Mid
2756,okevaaa,fashion,86471.0,687,837,Mid
2757,shabbilyshic,fashion,86386.0,979,595,Mid
2758,theaugustdiaries,fashion,86267.0,1258,3124,Mid
2759,klochella,fashion,86257.0,488,341,Mid
2760,eucarolsoaress,fashion,86242.0,1005,1520,Mid
2761,sandrasteve,fashion,86234.0,967,445,Mid
2762,savvysassymoms,fashion,86234.0,3161,2471,Mid
2763,macyjaemoore,fashion,86216.0,2392,394,Mid
2764,lil_miss_hk,fashion,86214.0,933,947,Mid
2765,veronicaadelizzi,fashion,86181.0,1190,1763,Mid
2766,ludovica_ferlito,fashion,86107.0,455,1341,Mid
2767,primpatnasiri,fashion,86097.0,1559,1061,Mid
2768,bruna_rego,fashion,86094.0,2566,3977,Mid
2769,thetracymoore,fashion,86011.0,498,2811,Mid
2770,nashvilletash,fashion,85974.0,2688,4025,Mid
2771,roberta_zioni,fashion,85910.0,1605,1296,Mid
2772,misslluviaconsol,fashion,85847.0,575,840,Mid
2773,lushtoblush,fashion,85798.0,1148,2104,Mid
2774,nadirarr,fashion,85780.0,928,2083,Mid
2775,alessaa_w,fashion,85708.0,523,1167,Mid
2776,louisaxgrace,fashion,85705.0,4004,576,Mid
2777,oh_anthonio,fashion,85691.0,1118,4349,Mid
2778,biancaderhy,fashion,85417.0,1698,1566,Mid
2779,maggiemacdonald,fashion,85402.0,288,543,Mid
2780,blamurphy,fashion,85330.0,1122,2112,Mid
2781,isadeejansen,fashion,85283.0,737,365,Mid
2782,marinahoermanseder,fashion,85245.0,804,1088,Mid
2783,gabriel_gontijo,fashion,85239.0,1422,5820,Mid
2784,jeroenvanes,fashion,85195.0,3379,415,Mid
2785,thefashionpoet,fashion,85100.0,4384,4337,Mid
2786,tigistgls,fashion,85079.0,1473,1031,Mid
2787,roselynweaver,fashion,85032.0,820,1513,Mid
2788,aboutfny,fashion,85009.0,872,1116,Mid
2789,namastejenay,fashion,85001.0,427,1699,Mid
2790,alessandraventura,fashion,84986.0,652,1374,Mid
2791,charlottefisher,fashion,84935.0,620,4030,Mid
2792,whilton.design,fashion,84925.0,3977,1000,Mid
2793,sustainablychic,fashion,84876.0,2647,582,Mid
2794,eastcoastfox,fashion,84847.0,3292,1311,Mid
2795,rocknrollbride,fashion,84825.0,1242,5807,Mid
2796,leandre.renoir,fashion,84815.0,763,519,Mid
2797,docsamatao,fashion,84729.0,4358,352,Mid
2798,cajmel,fashion,84680.0,979,2025,Mid
2799,alittlebitetc,fashion,84656.0,225,2079,Mid
2800,rmrstyle,fashion,84607.0,521,3557,Mid
2801,obsessedbyportia,fashion,84597.0,990,2452,Mid
2802,sherine_hamdy,fashion,84511.0,2784,1257,Mid
2803,jadejoselyn,fashion,84442.0,607,1144,Mid
2804,mikethecompass,fashion,84377.0,235,404,Mid
2805,julietaroldann,fashion,84359.0,5034,449,Mid
2806,itsgiannaadams,fashion,84224.0,2553,318,Mid
2807,stylebyraysagarcia,fashion,84177.0,342,1379,Mid
2808,cameonistas,fashion,84114.0,1229,2182,Mid
2809,cutenlittle,fashion,84110.0,1883,3389,Mid
2810,reginaanikiy,fashion,84029.0,469,295,Mid
2811,anitamoshkelgosha,fashion,83761.0,481,506,Mid
2812,michellerandolph,fashion,83743.0,1000,767,Mid
2813,kaylynd_,fashion,83670.0,998,411,Mid
2814,letwins__,fashion,83667.0,2085,688,Mid
2815,sangita.patel,fashion,83646.0,1595,1626,Mid
2816,patrickmadany,fashion,83636.0,880,400,Mid
2817,eneabarozzi_,fashion,83629.0,1651,755,Mid
2818,shanna_lisa,fashion,83618.0,890,536,Mid
2819,theposhman,fashion,83601.0,944,2335,Mid
2820,chris_kv11,fashion,83597.0,1538,457,Mid
2821,irinalakicevic,fashion,83568.0,819,2135,Mid
2822,jalisaevaughn,fashion,83535.0,965,1472,Mid
2823,alwayscreatingblog,fashion,83529.0,669,2180,Mid
2824,rosenyfrancois,fashion,83514.0,1117,750,Mid
2825,onicolasbrito,fashion,83483.0,4993,508,Mid
2826,halfricanbeaute,fashion,83403.0,150,270,Mid
2827,mrs.rebeccarobinson,fashion,83376.0,3756,1468,Mid
2828,camillasentuti,fashion,83361.0,1490,3883,Mid
2829,voluptuousleah,fashion,83322.0,2025,1531,Mid
2830,borolitos,fashion,83322.0,817,2182,Mid
2831,robertaruiu,fashion,83293.0,1,1675,Mid
2832,annalyncook,fashion,83231.0,2414,822,Mid
2833,dolshegulsen,fashion,83175.0,1607,398,Mid
2834,oliviamollyrogers,fashion,83143.0,1440,1689,Mid
2835,fashionfootprint,fashion,83133.0,846,1443,Mid
2836,angiemiic,fashion,83112.0,185,600,Mid
2837,kyrakeli,fashion,83020.0,406,2212,Mid
2838,meetmeinparee,fashion,82995.0,773,4463,Mid
2839,stylesophyy,fashion,82992.0,3210,355,Mid
2840,thelittlemodel_,fashion,82967.0,1113,1608,Mid
2841,camsbotten,fashion,82929.0,595,1178,Mid
2842,elodieinparis,fashion,82916.0,849,4755,Mid
2843,pamclaudino_,fashion,82802.0,207,911,Mid
2844,yuki.amsterdam,fashion,82799.0,1426,1005,Mid
2845,buscandoformaalasnubes,fashion,82738.0,273,3788,Mid
2846,kamila_smaili,fashion,82731.0,1077,3148,Mid
2847,pepii7,fashion,82711.0,956,436,Mid
2848,shopranoblog,fashion,82647.0,973,5952,Mid
2849,vanillestilettos,fashion,82595.0,1376,687,Mid
2850,bruhuli,fashion,82573.0,2384,1496,Mid
2851,briannarenee,fashion,82563.0,305,548,Mid
2852,danielaknight,fashion,82439.0,4032,4582,Mid
2853,sosageblog,fashion,82398.0,2400,3359,Mid
2854,cantanaa_,fashion,82264.0,340,464,Mid
2855,b_savy,fashion,82231.0,844,2578,Mid
2856,irisamberr,fashion,82230.0,885,1322,Mid
2857,jlcowdrey,fashion,82201.0,595,933,Mid
2858,alessiafoglia_official,fashion,82176.0,3803,4299,Mid
2859,bydianamarks,fashion,82114.0,7492,1803,Mid
2860,munich_style,fashion,82088.0,303,387,Mid
